[2026-03-07T21:14:57.733+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-07T21:14:37+00:00 [queued]>
[2026-03-07T21:14:57.762+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-07T21:14:37+00:00 [queued]>
[2026-03-07T21:14:57.763+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-03-07T21:14:57.803+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): stream_processing> on 2026-03-07 21:14:37+00:00
[2026-03-07T21:14:57.817+0000] {standard_task_runner.py:60} INFO - Started process 587 to run task
[2026-03-07T21:14:57.831+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'insurance_claims_pipeline', 'stream_processing', 'manual__2026-03-07T21:14:37+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/insurance_claims_pipeline.py', '--cfg-path', '/tmp/tmp7jipq253']
[2026-03-07T21:14:57.845+0000] {standard_task_runner.py:88} INFO - Job 11: Subtask stream_processing
[2026-03-07T21:15:04.505+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Stored to S3                   key=validated/2026/03/07/CLM-B7CBBDD9AF83.json
[2026-03-07T21:15:04.540+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-B7CBBDD9AF83 latency_ms=0.25916099548339844 source=tx_validation target=tx_fraud_detection
[2026-03-07T21:15:04.541+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [info     ] Claim fraud scored             claim_id=CLM-B7CBBDD9AF83 fraud_score=0.1566 risk_level=low rules=['high_amount', 'weekend_filing']
[2026-03-07T21:15:04.551+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Stored to S3                   key=scored/2026/03/07/CLM-B7CBBDD9AF83.json
[2026-03-07T21:15:04.576+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-B7CBBDD9AF83 latency_ms=0.22864341735839844 source=tx_fraud_detection target=tx_enrichment
[2026-03-07T21:15:04.576+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [info     ] Claim enriched                 claim_id=CLM-B7CBBDD9AF83 fields=['policy', 'claimant_history', 'geo_risk', 'category_analysis', 'adjuster_recommendation', 'reserve_estimate'] latency_ms=0.23
[2026-03-07T21:15:04.588+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Stored to S3                   key=enriched/2026/03/07/CLM-B7CBBDD9AF83.json
[2026-03-07T21:15:04.615+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-B7CBBDD9AF83 latency_ms=137.36557960510254 source=tx_enrichment target=sink_s3_datalake
[2026-03-07T21:15:04.643+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Stored to PostgreSQL           claim_id=CLM-B7CBBDD9AF83
[2026-03-07T21:15:04.670+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-B7CBBDD9AF83 latency_ms=0 source=tx_enrichment target=sink_postgres
[2026-03-07T21:15:04.698+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-CC8923CF7625 latency_ms=0.1373291015625 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:15:04.698+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [info     ] Claim validated                claim_id=CLM-CC8923CF7625 errors=0 latency_ms=0.14 valid=True
[2026-03-07T21:15:04.709+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Stored to S3                   key=validated/2026/03/07/CLM-CC8923CF7625.json
[2026-03-07T21:15:04.739+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-CC8923CF7625 latency_ms=0.1857280731201172 source=tx_validation target=tx_fraud_detection
[2026-03-07T21:15:04.740+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [info     ] Claim fraud scored             claim_id=CLM-CC8923CF7625 fraud_score=0.4857 risk_level=medium rules=['high_amount', 'weekend_filing', 'late_filing', 'excessive_amount_for_type']
[2026-03-07T21:15:04.759+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Stored to S3                   key=scored/2026/03/07/CLM-CC8923CF7625.json
